v_inf,re,im
1.0,-7.646689562483429,-82.49258271634525
1.0,-11.523665365141778,-82.48507295938556
1.0,-13.21327607156317,-82.47623082422403
1.0,-13.542742808455529,-82.33024277196023
1.0,-13.93275223154935,-82.16037545380334
1.0,-718.3067210890567,-82.135479577461
1.0,-13.773146342491822,-81.96698961343002
1.0,-0.571160886681932,-81.88521514553962
1.0,-13.634863604127334,-81.78930568605249
1.0,-13.433618459324082,-81.78150643599416
1.0,-13.497492469342674,-81.7773903723981
1.0,-13.36614058414463,-81.76008893835765
1.0,-13.330020346430224,-81.7261811008568
1.0,-13.386323982279896,-81.70576300121644
1.0,-7.875171772404868,-81.36211454684853
1.0,-10.515193593228775,-81.3429508816835
1.0,-13.393557681855775,-81.31478761946589
1.0,-12.872413167408219,-81.30299237289597
1.0,-811.3932471650228,-81.21804719941832
1.0,-1051.0085479721176,-81.19534932377641
1.0,-13.395877606211505,-80.98619117520253
1.0,-13.611557461098142,-80.91814035591607
1.0,-1012.9900829122889,-80.69580853840972
1.0,-563.6210771789084,-80.64778655630957
1.0,-13.45181215815571,-80.5671101057112
1.0,-14.166960319383742,-80.55528967256328
1.0,-272.6870529402241,-80.52358143608372
1.0,-13.431396302234305,-80.52222047162851
1.0,-0.7129147313465349,-80.52197598580317
1.0,-13.39273946975133,-80.51843286545078
1.0,-746.2472738266106,-80.51648103932497
1.0,-13.488319191246749,-80.47956308581657
1.0,-13.549341820061974,-80.3481057179366
1.0,-13.631850940175479,-80.249310202358
1.0,-4.487037996717835,-80.21448799952162
1.0,-7.643210448492604,-80.20952686623727
1.0,-11.520435769418413,-80.19863169686784
1.0,-13.216071047156127,-80.1908073954234
1.0,-13.540430579758834,-80.00630144638295
1.0,-13.8726306739926,-79.86948519246764
1.0,-1039.3845263208723,-79.8337936988222
1.0,-0.5644648231603876,-79.62848010393304
1.0,-13.776297734347875,-79.62557938195106
1.0,-13.45054490659332,-79.47076941426864
1.0,-13.514738596268934,-79.43740623076653
1.0,-13.388141849380343,-79.43078603919977
1.0,-13.654513649577607,-79.41357840414743
1.0,-13.353166815818172,-79.3953307377855
1.0,-13.408849712814355,-79.3688261082946
1.0,-983.5920580519874,-79.25578193334594
1.0,-7.871127024206981,-79.08171262221444
1.0,-10.510880521624188,-79.05768772034912
