v_inf,re,im
5.0,-66.92447639015732,-418.1661892215136
5.0,-52.58061710771142,-418.15912770314884
5.0,-64.41767223923227,-418.0158416184637
5.0,-66.868018584227,-416.5206085571602
5.0,-68.05745446035638,-416.49832918445594
5.0,-67.09511346392264,-414.38846314488217
5.0,-66.85435545035415,-414.3159597417879
5.0,-66.98144525063111,-414.1576820850368
5.0,-67.32377743563501,-414.09958462512697
5.0,-67.56454021769407,-413.4486355676321
5.0,-68.00145033811513,-413.0604617405531
5.0,-70.33709071186097,-413.0499808729061
5.0,-57.46844910643332,-412.5952841060718
5.0,-22.459353904207635,-412.4920172515509
5.0,-38.2351765298796,-412.46222587602153
5.0,-65.98750394514333,-412.2576178008091
5.0,-5147.551716996161,-412.17644645200926
5.0,-67.77133663199466,-411.79677064719294
5.0,-69.70802829221397,-410.86886774861813
5.0,-68.93637516496563,-409.50858799082584
5.0,-67.13994977237209,-408.9367094624817
5.0,-68.59088724231886,-408.9152913671143
5.0,-67.4615979046684,-408.79410441314195
5.0,-66.81027714391529,-408.7915227110221
5.0,-66.67564237076382,-408.62685850754934
5.0,-66.94536181007723,-408.5318438982701
5.0,-3878.1165959769037,-407.718703224371
5.0,-39.38279577928121,-406.80866480774785
5.0,-52.563929827161395,-406.7398300764918
5.0,-67.01888665900397,-406.5780621215126
5.0,-64.42520477128178,-406.57253096075385
5.0,-5330.247084403857,-405.5587276929893
5.0,-66.99887463782512,-404.8713586096407
5.0,-68.02889616058603,-404.76253426943174
5.0,-3.3262773158886723,-404.6739953267809
5.0,-2770.396831135506,-404.34086546930746
5.0,-67.15490461984146,-402.78363014866875
5.0,-66.92991476142855,-402.7491926202431
5.0,-67.13016731401963,-402.5383860443269
5.0,-67.45614595584055,-402.41489331599246
5.0,-4063.451399549749,-402.34072323192476
5.0,-71.1125128937699,-401.819660300784
5.0,-67.68091127051815,-401.7292511740648
5.0,-68.03880211815536,-401.29110020399116
5.0,-57.4327818556163,-401.2075955840138
5.0,-22.443567592816052,-401.0825879983125
5.0,-38.21856403636622,-401.04611986629925
5.0,-65.99026012510618,-400.79203767924264
5.0,-67.73846796870849,-400.17596031077437
5.0,-2373.9920413089276,-400.0371411618852
5.0,-69.34473854382878,-399.45218022727187
5.0,-1130.169985805861,-399.3863111056802
5.0,-69.11151973748399,-397.9342142546508
5.0,-67.18915501932975,-397.3261289119314
5.0,-68.56064545122724,-397.15732560406275
5.0,-66.94308387140526,-397.15552463221115
5.0,-67.56543880514216,-397.095877945194
5.0,-66.80554176976936,-396.9532473870068
5.0,-67.05051291585514,-396.8646502972726
5.0,-39.36746463376371,-395.4041279239564
5.0,-52.543081880495485,-395.32027824454354
5.0,-64.4235824140284,-395.14020063827286
5.0,-67.11760891830224,-395.01154445034217
5.0,-67.17023809016104,-393.25732056784847
5.0,-68.03257586464859,-393.0519517308911
5.0,-67.21432496560065,-391.171729915034
5.0,-66.99699821701044,-391.16674415589125
5.0,-67.2930514092791,-390.9474545616382
5.0,-71.56811292945945,-390.8544645923719
5.0,-67.60650595076076,-390.75079233863084
5.0,-3345.043784056628,-390.6218990527186
5.0,-67.77457288362564,-390.01987880855376
5.0,-57.388657009141745,-389.8136785723531
5.0,-22.424712842423705,-389.6733253280187
5.0,-38.19820707634271,-389.6297989225935
5.0,-68.12511717196507,-389.5552141359705
5.0,-65.98510333267767,-389.3375836735766
5.0,-67.69834174014795,-388.54151313901264
5.0,-2.7528140815287188,-388.3246290832445
5.0,-69.02386745432001,-387.91276034061184
5.0,-2.746730016093369,-386.80045016097216
5.0,-69.27380622207644,-386.36393694764286
5.0,-67.2525985318594,-385.7407102574568
5.0,-67.11439607995277,-385.54537188901764
5.0,-67.70253960106663,-385.4159999763308
5.0,-68.63931315909463,-385.4093524036421
5.0,-66.97539970799552,-385.3053003455228
5.0,-67.18930030937636,-385.2174800582625
5.0,-39.349169606405596,-383.9995577066037
