v_inf,re,im
5.0,-674.8493060842511,-405.8761188310868
5.0,-70.0906655217278,-405.38963856834675
5.0,-49.49164634090624,-405.13150185468646
5.0,-67.86944119098247,-404.9381277998734
5.0,-67.06048986311883,-404.9070804714168
5.0,-3.3140713234815604,-404.68302903897546
5.0,-68.14618349806896,-403.9197118924018
5.0,-42.19358817935929,-403.40549617482327
5.0,-66.9414867730945,-402.7744001609429
5.0,-67.07413870039541,-402.68275443642733
5.0,-67.15346511941792,-402.5272998199834
5.0,-67.50754952678568,-402.4197393742015
5.0,-67.83097386016863,-401.8131397338789
5.0,-36.672680805150776,-401.6690645764832
5.0,-68.23452909862102,-401.3286779903497
5.0,-22.600800856801143,-400.966474895681
5.0,-67.44211759014411,-400.0974701856102
5.0,-68.9537651380777,-399.65872471637493
5.0,-69.14588524883507,-397.96809840883697
5.0,-67.20699062945796,-397.4216743688183
5.0,-66.93713248046735,-397.1277432765177
5.0,-66.77400386181574,-396.9689058440419
5.0,-67.61598951596905,-396.91153058174064
5.0,-67.09776758673377,-396.9064908409635
5.0,-2897.1523357475794,-396.68864243773686
5.0,-67.8453053649322,-396.5588997194803
5.0,-62.477434364229616,-395.5736885269882
5.0,-67.11155553146148,-395.0998148143818
5.0,-56.541928473506445,-395.0560044588751
5.0,-49.762004814070735,-393.7445352654966
5.0,-70.56703041534344,-393.7018349289517
5.0,-5138.315770768683,-393.4869486317494
5.0,-67.22360898377441,-393.31192395894584
5.0,-67.87037314050228,-393.201489619014
5.0,-68.17280205277939,-392.39145310778326
5.0,-41.80908506378227,-392.02622372737574
5.0,-66.99561794694533,-391.1802265690879
5.0,-67.19272404670909,-391.0973006369068
5.0,-67.28997891326452,-390.94956149404555
5.0,-3476.882310945211,-390.7768165511188
5.0,-67.62476462122952,-390.77539903423707
5.0,-36.6821770407196,-390.38349245311304
5.0,-67.88794553279243,-390.0762910645789
5.0,-68.32691954642553,-389.67759275004676
5.0,-22.56618393014867,-389.53743742157036
5.0,-67.40799681279577,-388.42758061917976
5.0,-2.7528113106806607,-388.3246321193852
5.0,-68.83061601902334,-388.02455069065996
5.0,-2.746715643313262,-386.80046879422963
5.0,-69.33080523311182,-386.41041204954024
5.0,-67.28189652644346,-385.8425667061714
5.0,-67.07927262733297,-385.5201317844807
5.0,-66.94244356375032,-385.32978086882736
5.0,-67.2630310964654,-385.2625492768778
5.0,-67.6643729433374,-385.0943335461992
5.0,-68.00547762751175,-385.08095399916573
5.0,-62.438086623993804,-384.199557426045
5.0,-2.734161965270663,-383.77137642084915
5.0,-56.5651310336838,-383.59589905650955
5.0,-67.20268445745089,-383.5238704016999
5.0,-4724.198407976133,-383.2035442285055
5.0,-5058.61003053877,-383.1558223850729
5.0,-49.973310098344434,-382.37952034641614
5.0,-71.03793592310598,-382.21095140591257
5.0,-67.39461493029009,-381.7603542083011
5.0,-67.91237778985973,-381.4985410606633
5.0,-68.22004279405768,-380.81463261380145
5.0,-41.46799799731561,-380.62087092390703
5.0,-67.07342596372303,-379.5796597464171
5.0,-67.28295867032769,-379.50807082470686
5.0,-67.43047311031563,-379.3863980801822
5.0,-2.71477176836849,-379.2628534441566
5.0,-67.75586089302536,-379.1196000482183
