v_inf,re,im
106.0,-210.18620723467396,291.3956580106793
106.0,-161.54265255931895,291.89989772356233
106.0,-119.28289741775777,292.26664704665194
106.0,-83.00245021682265,292.35278254895326
106.0,-1.2569164588663513,309.9711826857436
106.0,-3941.984633675636,315.2122366849214
106.0,-1.1513595063939535,335.6818045816799
106.0,-1.1403376983976048,347.5125844383775
106.0,-1.1443328633064649,353.7945066422255
106.0,-1.1520962743463738,357.6140136957428
106.0,-1.1557438536942972,360.17770769061946
106.0,-715.3556931343652,364.1828754161396
106.0,-990.8721050483291,364.1828754161396
106.0,-406.91813331900505,364.1828754161396
106.0,-3769.249893572048,364.1828754161396
106.0,-210.98393428960537,364.1828754161396
106.0,-162.31247249097797,364.1828754161396
106.0,-120.00547127798403,364.1828754161396
106.0,-83.71927869205973,364.1828754161396
106.0,-544.9876582606348,364.1828754161396
106.0,-inf,
106.0,-inf,
106.0,-inf,
106.0,-inf,
107.0,-1.166580233373043,-363.53747782439444
107.0,-1.1628285927889228,-360.9252120285451
107.0,-1.1548441560928318,-357.0334049331794
107.0,-1.1507367781917939,-350.63282288656796
107.0,-1.1620675609208855,-338.579906992571
107.0,-4035.069604769933,-334.3759630073868
107.0,-1.270296570301141,-312.39673802809205
107.0,-83.78543186557755,-295.1113147490284
107.0,-120.40801133839874,-295.02432637928746
107.0,-163.06551322085954,-294.65461991196526
107.0,-212.16847778525593,-294.1449548987779
107.0,-1.1670070653359832,-292.99329321378
107.0,-1.7628881565477965,-265.8234907226466
107.0,-1.7269143936537352,-230.43180286436345
107.0,-81.4094100279522,-222.42790643247656
107.0,-118.040492953114,-222.23534307782433
107.0,-160.5793606656769,-221.49922834475205
107.0,-209.6136682496651,-220.49133124307494
107.0,-4147.864714663938,-216.91013597469757
107.0,-4.449892127609665,-192.63045740803634
107.0,-3867.746903352269,-172.2240107880255
107.0,-3986.96107420517,-150.18729271568168
107.0,-76.80464029442494,-149.2787124375014
107.0,-113.39822069998466,-149.00475886460748
107.0,-155.7898410064677,-147.89459027236998
107.0,-204.68324913676366,-146.323031156843
107.0,0.9643628256819696,-82.77243140806699
107.0,-67.32194212910647,-75.50731875626549
107.0,-104.38928289512472,-74.71860187559473
107.0,-146.80818722300555,-73.28791127333781
107.0,-195.19160331721727,-70.90481768040667
107.0,-7.085352812229957,-47.72729152495468
107.0,-167.56294909866108,0.0
107.0,-4149.682058308392,0.0
107.0,-35.37769027589245,0.0
107.0,-76.63295307218361,0.0
107.0,-4056.4024238479014,0.0
107.0,-121.18715521971711,0.0
107.0,-4546.273270669651,0.0
107.0,-7.085352812229957,47.72729152495468
107.0,-195.19160331721727,70.90481768040667
107.0,-146.80818722300555,73.28791127333781
107.0,-104.38928289512472,74.71860187559473
107.0,-67.32194212910647,75.50731875626549
107.0,0.9643628256819696,82.77243140806699
107.0,-204.68324913676366,146.323031156843
107.0,-155.7898410064677,147.89459027236998
107.0,-113.39822069998466,149.00475886460748
107.0,-76.80464029442494,149.2787124375014
107.0,-3986.96107420517,150.18729271568168
107.0,-3867.746903352269,172.2240107880255
107.0,-4.449892127609665,192.63045740803634
107.0,-4147.864714663938,216.91013597469757
107.0,-209.6136682496651,220.49133124307494
107.0,-160.5793606656769,221.49922834475205
107.0,-118.040492953114,222.23534307782433
107.0,-81.4094100279522,222.42790643247656
107.0,-1.7269143936537352,230.43180286436345
107.0,-1.7628881565477965,265.8234907226466
107.0,-1.1670070653359832,292.99329321378
107.0,-212.16847778525593,294.1449548987779
107.0,-163.06551322085954,294.65461991196526
107.0,-120.40801133839874,295.02432637928746
107.0,-83.78543186557755,295.1113147490284
107.0,-1.270296570301141,312.39673802809205
107.0,-4035.069604769933,334.3759630073868
107.0,-1.1620675609208855,338.579906992571
107.0,-1.1507367781917939,350.63282288656796
107.0,-1.1548441560928318,357.0334049331794
